	Trumpnegative	Covid	economic	postalservice	Careforolder 	defendeprotests	minorityproblems	unemployment 	radicalprotest	policebrutality	uniteAmerica	systemicracism	Obama	justice	equality	Senate	rebuild	woman 	progress	soulofthisnation	change	Bidenpositive	green	infrastructure	china	climatechange	medicalcare	LGBTQ	immigrants	votingrights	civilrightsandlibertiesandfreedom	SupremeCourt 	education	children 	diversity 	smallbusiness	increaseminimumwage	corruptionSwamp	safety	democracy 	troopsarmymilitary	hategroupsnationalism	families	Godfaith	foreign policy	Russia	gunproblem	Americandream	conservative	MAGA	liberalelite	Trumppositive	patriotism	AmericanPeople	FakeNews	Bidennegative	Harrisnegative	RadicalSocialistsleft	medicalefficencydealwithcovid	AmericaFIRST 	voterfraud	censorshipbigtech	taxesandregulationsbiggov	ImpeachmentWITCHHUNT	terrorists	immigrantproblemWALL	constitution	prolifeunborn	ruleoflawpolicesupport	defendAmerica
biden1	1																																																																					
biden2	1																																																																					
biden3	1																																																																					
biden4	1	1		1																																																																		
biden5					1																																																																	
biden6	1																																																																					
biden7	1	1				1	1	1	1	1	1	1																																																										
biden8	1												1																																																									
biden9	1													1	1																																																							
biden10	1															1	1																																																					
biden11	1																1																																																					
biden12	1																1																																																					
biden13	1																	1																																																				
biden14	1																																																																					
biden15	1																																																																					
biden16	1	1																																																																				
biden17	1										1																																																											
biden18	1											1							1	1	1	1																																																
biden19	1																																																																					
biden20	1	1	1				1	1						1									1	1	1	1																																												
biden21	1																					1																																																
biden22													1																																																									
biden23			1										1	1	1							1					1																																											
biden24	1		1														1			1	1																																																	
biden25																																																																						
biden26																						1																																																
biden27																						1																																																
biden28	1	1																																																																				
biden29	1																					1						1	1	1	1	1																																						
biden30	1																																																																					
biden31	1																																																																					
biden32																		1				1																																																
biden33							1					1								1																																																		
biden34	1	1																		1							1																																											
biden35			1		1		1	1				1		1				1					1	1									1																																					
biden36		1																															1	1																																				
biden37							1					1		1	1																		1	1	1																																			
biden38		1									1																									1																																		
biden39	1												1																																																									
biden40													1									1																																																
biden41	1												1									1																																																
biden42	1												1							1		1																																																
biden43	1												1																																																									
biden44																		1																	1																																			
biden45	1	1																				1					1										1																																	
biden46	1												1																																																									
biden47	1	1						1		1		1										1																																																
biden48																							1			1																																												
biden49	1						1											1																																																				
biden50	1																																																																					
biden51	1																																																																					
biden52	1																																																																					
biden53	1												1	1	1							1												1			1																																	
biden54	1	1																1				1																1																																
biden55																		1																																																				
biden56																		1				1																																																
biden57																		1				1																																																
biden58	1																	1			1																																																	
biden59	1																	1				1																																																
biden60																						1																																																
